mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0011980533599853516,0.0007512383366383891,0.0,0.0,0.001,l1,"{'C': 0.001, 'penalty': 'l1'}",,,,,,,,8
0.7689227104187012,0.38125646985198064,0.0033942699432373048,0.0007970047833526587,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",-0.6978107854844382,-0.6880500677767611,-0.6913286754833031,-0.6913443708667094,-0.6919975154035729,-0.692106283002957,0.0031683195694597373,1
0.0010005474090576173,0.0010955401068595547,0.0,0.0,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",,,,,,,,9
0.007598876953125,0.0016273960275980297,0.009001350402832032,0.010061049593090995,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",-0.6978731968497998,-0.6882855519928972,-0.6919747327816395,-0.6919396135309791,-0.6921445388581503,-0.6924435268026932,0.003076789285924908,2
0.0009988307952880859,2.1673809389807726e-06,0.0,0.0,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",,,,,,,,10
0.010207700729370116,0.0013252798317468454,0.005597734451293945,0.0037639145737264307,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",-0.6975685439956605,-0.6884234072864324,-0.6963114716062954,-0.6930908519982447,-0.6926915840447238,-0.6936171717862714,0.003193164847723132,3
0.0009994983673095703,6.641573084442196e-07,0.0,0.0,1.0,l1,"{'C': 1.0, 'penalty': 'l1'}",,,,,,,,11
0.014202499389648437,0.007252521159535452,0.0033987998962402345,0.0004969177336362775,1.0,l2,"{'C': 1.0, 'penalty': 'l2'}",-0.6972677671402814,-0.6878128578127096,-0.7033082856997303,-0.6925542014383576,-0.6943633221532828,-0.6950612868488724,0.005141865435551975,4
0.001196908950805664,0.0007456558560656559,0.0,0.0,10.0,l1,"{'C': 10.0, 'penalty': 'l1'}",,,,,,,,12
0.013798046112060546,0.006524930506057586,0.00460200309753418,0.0032005075738308257,10.0,l2,"{'C': 10.0, 'penalty': 'l2'}",-0.697542661517939,-0.6877351082426992,-0.7057083870006738,-0.6922292071134524,-0.6964889854705094,-0.6959408698690547,0.005989683170174534,5
0.007599973678588867,0.013704700594853922,0.0,0.0,100.0,l1,"{'C': 100.0, 'penalty': 'l1'}",,,,,,,,13
0.012788963317871094,0.007675585606694385,0.003208637237548828,0.000756959712166037,100.0,l2,"{'C': 100.0, 'penalty': 'l2'}",-0.697597342713125,-0.6877371079174206,-0.7060309611501655,-0.6921873359435977,-0.6969431465335628,-0.6960991788515742,0.006112672431521454,6
0.006001710891723633,0.010006189402553652,0.0,0.0,1000.0,l1,"{'C': 1000.0, 'penalty': 'l1'}",,,,,,,,14
0.0118133544921875,0.0033107777896703005,0.0038050174713134765,0.0003997833446573995,1000.0,l2,"{'C': 1000.0, 'penalty': 'l2'}",-0.6976032736772096,-0.6877374215619471,-0.7060653059456033,-0.6921827315806803,-0.696993844755723,-0.6961165155042327,0.006126050260609837,7
